issuekey	start_date	priority	issuetype	assignee	is_assigned	comment_count	link_count	affect_count	fix_count	has_priority_change	has_desc_change	has_fix_change	reporter_rep	assignee_workload	start	end	is_dead	should_censor
CLOUDSTACK-10063	2017-09-04	3	1	unassigned	0	0	0	1	1	0	1	0	0	NA	0	365	0	0
CLOUDSTACK-10063	2017-09-04	3	1	unassigned	0	0	0	1	1	0	1	0	0	NA	365	703	0	1
CLOUDSTACK-1015	2013-01-18	1	1	unassigned	0	0	0	0	0	0	0	0	0	NA	0	4	0	0
CLOUDSTACK-1015	2013-01-22	1	1	unassigned	0	1	0	0	0	0	0	0	0	NA	4	28	0	0
CLOUDSTACK-1015	2013-02-15	1	1	unassigned	0	1	0	0	0	0	0	0	0.25	NA	28	55	0	0
CLOUDSTACK-1015	2013-03-14	1	1	unassigned	0	1	0	0	0	0	0	0	0.2	NA	55	64	0	0
CLOUDSTACK-1015	2013-03-23	1	1	unassigned	0	1	0	0	0	0	0	0	0.4	NA	64	152	0	0
CLOUDSTACK-1015	2013-06-19	1	1	unassigned	0	1	0	0	0	0	0	0	0.6	NA	152	154	0	0
CLOUDSTACK-1015	2013-06-21	1	1	alena1108	1	2	0	0	0	0	0	0	0.8	1	154	155	1	0
CLOUDSTACK-10256	2018-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10256	2018-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	365	557	0	1
CLOUDSTACK-10262	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	15	0	0
CLOUDSTACK-10262	2018-02-16	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	15	46	0	0
CLOUDSTACK-10262	2018-03-19	3	5	unassigned	0	2	0	0	0	0	0	0	0	NA	46	51	0	0
CLOUDSTACK-10262	2018-03-24	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	51	365	0	0
CLOUDSTACK-10262	2018-03-24	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10263	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	11	0	0
CLOUDSTACK-10263	2018-02-12	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	11	365	0	0
CLOUDSTACK-10263	2018-02-12	3	5	unassigned	0	1	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10264	2018-02-01	3	5	unassigned	0	0	0	0	0	0	1	0	0	NA	0	365	0	0
CLOUDSTACK-10264	2018-02-01	3	5	unassigned	0	0	0	0	0	0	1	0	0	NA	365	553	0	1
CLOUDSTACK-10265	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10265	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10266	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10266	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-10267	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-10267	2018-02-01	3	5	unassigned	0	0	0	0	0	0	0	0	0	NA	365	553	0	1
CLOUDSTACK-1058	2013-01-24	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	1	0	0
CLOUDSTACK-1058	2013-01-25	3	1	bhaisaab	1	0	0	1	0	0	0	0	0	1	1	4	0	0
CLOUDSTACK-1058	2013-01-28	3	1	unassigned	0	0	0	1	0	0	0	0	0	1	4	22	0	0
CLOUDSTACK-1058	2013-02-15	3	1	unassigned	0	0	0	1	0	0	0	0	0.25	1	22	49	0	0
CLOUDSTACK-1058	2013-03-14	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	1	49	58	0	0
CLOUDSTACK-1058	2013-03-23	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	1	58	59	1	0
CLOUDSTACK-1137	2013-02-01	3	1	unassigned	0	0	0	1	1	0	0	0	0	NA	0	13	0	0
CLOUDSTACK-1137	2013-02-14	3	1	minchen07	1	2	0	1	1	0	0	0	0	1	13	14	0	0
CLOUDSTACK-1137	2013-02-15	3	1	minchen07	1	5	0	1	1	0	0	0	0.25	1	14	15	1	0
CLOUDSTACK-1143	2013-02-02	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	0	12	0	0
CLOUDSTACK-1143	2013-02-14	4	3	sebgoa	1	3	0	1	0	0	0	0	0.5	1	12	13	1	0
CLOUDSTACK-1213	2013-02-08	4	6	unassigned	0	0	0	1	0	0	0	0	0	NA	0	3	0	0
CLOUDSTACK-1213	2013-02-11	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	3	365	0	0
CLOUDSTACK-1213	2013-02-11	4	3	unassigned	0	0	0	1	0	0	0	0	0	NA	365	822	0	1
CLOUDSTACK-1213	2015-05-11	4	3	unassigned	0	1	0	1	0	0	0	0	0.5	NA	822	823	1	1
CLOUDSTACK-1678	2013-03-14	3	1	unassigned	0	0	0	1	0	0	0	0	0.2	NA	0	9	0	0
CLOUDSTACK-1678	2013-03-23	3	1	unassigned	0	0	0	1	0	0	0	0	0.4	NA	9	97	0	0
CLOUDSTACK-1678	2013-06-19	3	1	alena1108	1	1	0	1	0	0	0	0	0.6	1	97	98	1	0
CLOUDSTACK-1819	2013-03-27	2	1	kishan	1	4	0	1	1	0	1	0	0	1	0	2	0	0
CLOUDSTACK-1819	2013-03-29	3	1	kishan	1	7	0	1	1	1	1	0	0	1	2	69	0	0
CLOUDSTACK-1819	2013-06-04	3	1	kishan	1	7	0	2	1	1	1	1	0	1	69	176	0	0
CLOUDSTACK-1819	2013-09-19	3	1	kishan	1	7	0	2	1	1	1	2	0	1	176	197	0	0
CLOUDSTACK-1819	2013-10-10	3	1	kishan	1	7	0	2	1	1	1	3	0	1	197	203	0	0
CLOUDSTACK-1819	2013-10-16	3	1	kishan	1	7	0	2	1	1	1	4	0	1	203	215	0	0
CLOUDSTACK-1819	2013-10-28	2	1	kishan	1	7	0	2	1	2	1	4	0	1	215	217	0	0
CLOUDSTACK-1819	2013-10-30	2	1	kishan	1	7	0	2	1	2	1	5	0	1	217	218	0	0
CLOUDSTACK-1819	2013-10-31	2	1	kishan	1	8	0	2	1	2	1	5	0	1	218	231	0	0
CLOUDSTACK-1819	2013-11-13	2	1	kishan	1	10	0	2	1	2	1	5	0	1	231	232	0	0
CLOUDSTACK-1819	2013-11-14	2	1	kishan	1	11	0	2	1	2	1	5	0.5	1	232	233	1	0
CLOUDSTACK-2868	2013-06-06	3	7	unassigned	0	0	0	1	1	0	0	0	0	NA	0	120	0	0
CLOUDSTACK-2868	2013-10-04	3	7	unassigned	0	0	0	1	1	0	0	1	0	NA	120	132	0	0
CLOUDSTACK-2868	2013-10-16	3	7	unassigned	0	0	0	1	1	0	0	2	0	NA	132	365	0	0
CLOUDSTACK-2868	2013-10-16	3	7	unassigned	0	0	0	1	1	0	0	2	0	NA	365	538	0	1
CLOUDSTACK-2868	2014-11-26	3	7	unassigned	0	0	0	1	1	0	0	3	0	NA	538	623	0	1
CLOUDSTACK-2868	2015-02-19	3	7	unassigned	0	0	0	1	1	0	0	4	0	NA	623	2254	0	1
CLOUDSTACK-3310	2013-07-01	1	1	unassigned	0	2	0	1	1	0	0	0	0.833333333333333	NA	0	1	1	0
CLOUDSTACK-4841	2013-10-09	5	4	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-4841	2013-10-09	5	4	unassigned	0	0	0	0	0	0	0	0	0	NA	365	1218	0	1
CLOUDSTACK-4841	2017-02-08	5	4	unassigned	0	0	0	0	0	0	0	0	0.666666666666667	NA	1218	1219	1	1
CLOUDSTACK-4857	2013-10-11	3	4	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-4857	2013-10-11	3	4	unassigned	0	0	0	0	0	0	0	0	0	NA	365	1216	0	1
CLOUDSTACK-4857	2017-02-08	3	4	unassigned	0	0	0	0	0	0	0	0	0.666666666666667	NA	1216	1217	1	1
CLOUDSTACK-5241	2013-11-21	3	4	unassigned	0	0	-1	1	1	0	0	0	0	NA	0	64	0	0
CLOUDSTACK-5241	2014-01-24	3	1	unassigned	0	1	-1	1	1	0	0	1	0	NA	64	96	0	0
CLOUDSTACK-5241	2014-02-25	3	1	unassigned	0	1	0	1	1	0	0	1	0	NA	96	365	0	0
CLOUDSTACK-5241	2014-02-25	3	1	unassigned	0	1	0	1	1	0	0	1	0	NA	365	370	0	1
CLOUDSTACK-5241	2014-11-26	3	1	yasker	1	1	0	1	1	0	0	2	0	1	370	376	0	1
CLOUDSTACK-5241	2014-12-02	3	1	yasker	1	1	0	1	1	0	0	2	0	1	376	377	0	1
CLOUDSTACK-5241	2014-12-03	3	1	yasker	1	1	0	1	3	0	0	3	0	1	377	378	0	1
CLOUDSTACK-5241	2014-12-04	3	1	yasker	1	5	0	1	1	0	0	4	0.5	1	378	379	1	1
CLOUDSTACK-5464	2013-12-11	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	240	0	0
CLOUDSTACK-5464	2014-08-08	3	1	unassigned	0	1	0	1	0	0	0	0	0	NA	240	365	0	0
CLOUDSTACK-5464	2014-08-08	3	1	unassigned	0	1	0	1	0	0	0	0	0	NA	365	2066	0	1
CLOUDSTACK-5740	2014-01-03	3	1	unassigned	0	0	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-5740	2014-01-03	3	1	unassigned	0	0	0	0	0	0	0	0	0	NA	365	2043	0	1
CLOUDSTACK-6413	2014-04-15	3	2	unassigned	0	0	0	1	0	0	0	0	0	NA	0	113	0	0
CLOUDSTACK-6413	2014-08-06	3	2	unassigned	0	0	0	1	0	0	1	0	0	NA	113	365	0	0
CLOUDSTACK-6413	2014-08-06	3	2	unassigned	0	0	0	1	0	0	1	0	0	NA	365	395	0	1
CLOUDSTACK-6413	2015-05-15	3	2	unassigned	0	1	0	1	0	0	1	0	0	NA	395	549	0	1
CLOUDSTACK-6413	2015-10-16	3	2	unassigned	0	2	0	1	0	0	1	0	0	NA	549	1941	0	1
CLOUDSTACK-8104	2014-12-22	4	2	widodh	1	0	0	0	0	0	1	0	0	1	0	51	0	0
CLOUDSTACK-8104	2015-02-11	4	2	widodh	1	1	2	0	0	0	1	0	0	1	51	365	0	0
CLOUDSTACK-8104	2015-02-11	4	2	widodh	1	1	2	0	0	0	1	0	0	1	365	1093	0	1
CLOUDSTACK-8104	2017-12-19	4	2	widodh	1	2	2	0	0	0	1	0	0.333333333333333	1	1093	1094	1	1
CLOUDSTACK-8206	2015-02-04	3	2	unassigned	0	0	0	0	1	0	0	0	0	NA	0	2	0	0
CLOUDSTACK-8206	2015-02-06	3	2	unassigned	0	1	0	0	1	0	0	0	0	NA	2	189	0	0
CLOUDSTACK-8206	2015-08-12	3	2	unassigned	0	1	0	0	0	0	0	1	0	NA	189	365	0	0
CLOUDSTACK-8206	2015-08-12	3	2	unassigned	0	1	0	0	0	0	0	1	0	NA	365	1295	0	1
CLOUDSTACK-8206	2018-08-22	3	2	unassigned	0	2	0	0	0	0	0	1	0	NA	1295	1646	0	1
CLOUDSTACK-8223	2015-02-06	3	2	unassigned	0	0	0	0	0	0	0	0	0	NA	0	11	0	0
CLOUDSTACK-8223	2015-02-17	3	2	unassigned	0	0	0	0	0	0	1	0	0	NA	11	32	0	0
CLOUDSTACK-8223	2015-03-10	3	2	unassigned	0	1	0	0	0	0	1	0	0	NA	32	49	0	0
CLOUDSTACK-8223	2015-03-27	3	2	unassigned	0	2	0	0	0	0	1	0	0	NA	49	53	0	0
CLOUDSTACK-8223	2015-03-31	3	2	unassigned	0	3	0	0	0	0	1	0	0	NA	53	365	0	0
CLOUDSTACK-8223	2015-03-31	3	2	unassigned	0	3	0	0	0	0	1	0	0	NA	365	1644	0	1
CLOUDSTACK-8239	2015-02-10	2	2	unassigned	0	0	0	1	0	0	0	0	0	NA	0	1	0	0
CLOUDSTACK-8239	2015-02-11	2	2	widodh	1	1	2	1	0	0	0	0	0	2	1	253	0	0
CLOUDSTACK-8239	2015-10-21	2	2	widodh	1	2	2	1	0	0	0	0	0	2	253	254	0	0
CLOUDSTACK-8239	2015-10-22	2	2	widodh	1	3	2	1	1	0	0	1	0	2	254	365	0	0
CLOUDSTACK-8239	2015-10-22	2	2	widodh	1	3	2	1	1	0	0	1	0	2	365	428	0	1
CLOUDSTACK-8239	2016-04-13	2	2	widodh	1	3	2	1	1	0	0	2	0	2	428	741	0	1
CLOUDSTACK-8239	2017-02-20	2	2	widodh	1	6	2	1	1	0	0	2	0	2	741	742	0	1
CLOUDSTACK-8239	2017-02-21	2	2	widodh	1	8	2	1	1	0	0	2	0	2	742	743	0	1
CLOUDSTACK-8239	2017-02-22	2	2	widodh	1	14	2	1	1	0	0	2	0	2	743	744	0	1
CLOUDSTACK-8239	2017-02-23	2	2	widodh	1	18	2	1	1	0	0	2	0	2	744	745	0	1
CLOUDSTACK-8239	2017-02-24	2	2	widodh	1	20	2	1	1	0	0	2	0	2	745	750	0	1
CLOUDSTACK-8239	2017-03-01	2	2	widodh	1	26	2	1	1	0	0	2	0	2	750	751	0	1
CLOUDSTACK-8239	2017-03-02	2	2	widodh	1	30	2	1	1	0	0	2	0	2	751	753	0	1
CLOUDSTACK-8239	2017-03-04	2	2	widodh	1	31	2	1	1	0	0	2	0	2	753	755	0	1
CLOUDSTACK-8239	2017-03-06	2	2	widodh	1	33	2	1	1	0	0	2	0	2	755	757	0	1
CLOUDSTACK-8239	2017-03-08	2	2	widodh	1	34	2	1	1	0	0	2	0	2	757	758	0	1
CLOUDSTACK-8239	2017-03-09	2	2	widodh	1	40	2	1	1	0	0	2	0	2	758	759	0	1
CLOUDSTACK-8239	2017-03-10	2	2	widodh	1	42	2	1	1	0	0	2	0	2	759	760	0	1
CLOUDSTACK-8239	2017-03-11	2	2	widodh	1	46	2	1	1	0	0	2	0	2	760	761	0	1
CLOUDSTACK-8239	2017-03-12	2	2	widodh	1	48	2	1	1	0	0	2	0	2	761	762	0	1
CLOUDSTACK-8239	2017-03-13	2	2	widodh	1	49	2	1	1	0	0	2	0	2	762	776	0	1
CLOUDSTACK-8239	2017-03-27	2	2	widodh	1	50	2	1	1	0	0	2	0	2	776	800	0	1
CLOUDSTACK-8239	2017-04-20	2	2	widodh	1	52	2	1	1	0	0	2	0	2	800	1021	0	1
CLOUDSTACK-8239	2017-11-27	2	2	widodh	1	52	2	1	1	0	0	3	0.5	2	1021	1022	1	1
CLOUDSTACK-8310	2015-03-10	3	4	unassigned	0	1	0	0	0	0	0	0	0	NA	0	365	0	0
CLOUDSTACK-8310	2015-03-10	3	4	unassigned	0	1	0	0	0	0	0	0	0	NA	365	1612	0	1
CLOUDSTACK-8629	2015-07-13	3	4	widodh	1	0	0	0	1	0	0	0	0	3	0	1	0	0
CLOUDSTACK-8629	2015-07-14	3	4	widodh	1	1	0	0	1	0	0	0	0	3	1	3	0	0
CLOUDSTACK-8629	2015-07-16	3	4	widodh	1	1	1	0	1	0	0	0	0	3	3	365	0	0
CLOUDSTACK-8629	2015-07-16	3	4	widodh	1	1	1	0	1	0	0	0	0	3	365	611	0	1
CLOUDSTACK-8629	2017-03-15	3	4	widodh	1	2	1	0	1	0	0	0	0	3	611	618	0	1
CLOUDSTACK-8629	2017-03-22	3	4	widodh	1	3	1	0	1	0	0	0	0	3	618	869	0	1
CLOUDSTACK-8629	2017-11-28	3	4	widodh	1	3	1	0	1	0	0	0	0	2	869	890	0	1
CLOUDSTACK-8629	2017-12-19	3	4	widodh	1	3	1	0	1	0	0	0	0.333333333333333	2	890	891	0	1
CLOUDSTACK-8629	2017-12-20	3	4	widodh	1	3	1	0	1	0	0	0	0.333333333333333	1	891	1487	0	1
CLOUDSTACK-9293	2016-02-20	3	1	unassigned	0	0	0	1	0	0	0	0	0	NA	0	3	0	0
CLOUDSTACK-9293	2016-02-23	3	1	serverchief	1	3	0	1	0	0	0	0	0.5	1	3	4	1	0
CLOUDSTACK-9777	2017-02-08	3	1	unassigned	0	0	0	0	0	0	0	0	0	NA	0	10	0	0
CLOUDSTACK-9777	2017-02-18	3	1	unassigned	0	1	0	0	0	0	0	0	0	NA	10	11	0	0
CLOUDSTACK-9777	2017-02-19	3	1	unassigned	0	3	0	0	0	0	0	0	0	NA	11	365	0	0
CLOUDSTACK-9777	2017-02-19	3	1	unassigned	0	3	0	0	0	0	0	0	0	NA	365	373	0	1
CLOUDSTACK-9777	2018-02-16	3	5	unassigned	0	3	0	0	0	0	0	0	0	NA	373	376	0	1
CLOUDSTACK-9777	2018-02-19	3	5	unassigned	0	4	0	0	0	0	0	0	0	NA	376	911	0	1
CLOUDSTACK-9778	2017-02-08	3	2	unassigned	0	2	0	0	0	0	0	0	0	NA	0	41	0	0
CLOUDSTACK-9778	2017-03-21	3	2	unassigned	0	3	0	0	0	0	0	0	0	NA	41	44	0	0
CLOUDSTACK-9778	2017-03-24	3	2	unassigned	0	4	0	0	0	0	0	0	0	NA	44	48	0	0
CLOUDSTACK-9778	2017-03-28	3	2	unassigned	0	5	0	0	0	0	0	0	0	NA	48	365	0	0
CLOUDSTACK-9778	2017-03-28	3	2	unassigned	0	5	0	0	0	0	0	0	0	NA	365	911	0	1
CLOUDSTACK-9804	2017-02-27	4	2	unassigned	0	0	0	0	0	0	0	0	0	NA	0	12	0	0
CLOUDSTACK-9804	2017-03-11	4	2	unassigned	0	1	0	0	0	0	0	0	0	NA	12	14	0	0
CLOUDSTACK-9804	2017-03-13	4	2	unassigned	0	2	0	0	0	0	0	0	0	NA	14	365	0	0
CLOUDSTACK-9804	2017-03-13	4	2	unassigned	0	2	0	0	0	0	0	0	0	NA	365	892	0	1
